;Onderwerp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeentenaam;Soort regio;Codering;Jaar;Indelingswijziging wijken en buurten;||Aantal inwoners;|||Mannen;||Vrouwen;|||0 tot 15 jaar;||15 tot 25 jaar;||25 tot 45 jaar;||45 tot 65 jaar;||65 jaar of ouder;|||Ongehuwd;||Gehuwd;||Gescheiden;||Verweduwd;|||Westers totaal;||||Niet-westers totaal;|||Marokko;|||Nederlandse Antillen en Aruba;|||Suriname;|||Turkije;|||Overig niet-westers;|||Geboorte totaal;||Geboorte relatief;||Sterfte totaal;||Sterfte relatief;|||Huishoudens totaal;||Eenpersoonshuishoudens;||Huishoudens zonder kinderen;||Huishoudens met kinderen;||Gemiddelde huishoudensgrootte;Bevolkingsdichtheid;||Woningvoorraad;Gemiddelde woningwaarde;||Percentage eengezinswoning;||Percentage meergezinswoning;|||Percentage bewoond;||Percentage onbewoond;|||Koopwoningen;||||Huurwoningen totaal;|||In bezit woningcorporatie;|||In bezit overige verhuurders;||Eigendom onbekend;|||Bouwjaar voor 2000;||Bouwjaar vanaf 2000;||||Gemiddeld elektriciteitsverbruik totaal;||||Appartement;|||Tussenwoning;|||Hoekwoning;|||Twee-onder-één-kap-woning;|||Vrijstaande woning;||||Huurwoning;|||Eigen woning;|||Gemiddeld aardgasverbruik totaal;||||Appartement;|||Tussenwoning;|||Hoekwoning;|||Twee-onder-één-kap-woning;|||Vrijstaande woning;||||Huurwoning;|||Eigen woning;||Percentage woningen met stadsverwarming;||||Aantal inkomensontvangers  ;||Gemiddeld inkomen per inkomensontvanger ;||Gemiddeld inkomen per inwoner ;||40% personen met laagste inkomen;||20% personen met hoogste inkomen;||Actieven 15-75 jaar;|||40% huishoudens met laagste inkomen;||20% huishoudens met hoogste inkomen;||Huishoudens met een laag inkomen;||Huish. onder of rond sociaal minimum;"||Personen per soort uitkering; Bijstand";"Personen per soort uitkering; AO";"Personen per soort uitkering; WW";"Personen per soort uitkering; AOW";||Totaal diefstal uit woning/schuur/e.d.;Vernieling, misdrijf tegen openbare orde;Gewelds- en seksuele misdrijven;||Bedrijfsvestigingen totaal;|||A Landbouw, bosbouw en visserij;||B-F Nijverheid en energie;||G+I Handel en horeca;||H+J Vervoer, informatie en communicatie;||K-L Financiële diensten, onroerend goed;||M-N Zakelijke dienstverlening;||R-U Cultuur, recreatie, overige diensten;||||Personenauto's totaal;"||||Personenauto's; brandstof benzine";"|||Personenauto's; overige brandstof";||Personenauto's per huishouden;||Personenauto's naar oppervlakte;Motorfietsen;||Afstand tot huisartsenpraktijk;Afstand tot grote supermarkt;Afstand tot kinderdagverblijf;||Afstand tot school;||Scholen binnen 3 km;||Oppervlakte totaal;Oppervlakte land;Oppervlakte water;||Meest voorkomende postcode;Dekkingspercentage;||Mate van stedelijkheid;Omgevingsadressendichtheid
Wijken en buurten;naam;omschrijving;code;;code;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;per 1 000 inwoners;aantal;per 1 000 inwoners;aantal;aantal;aantal;aantal;aantal;aantal inwoners per km²;aantal;x 1 000 euro;%;%;%;%;%;%;%;%;%;%;%;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;m³;m³;m³;m³;m³;m³;m³;m³;%;aantal;x 1 000 euro;x 1 000 euro;%;%;%;%;%;%;%;aantal;aantal;aantal;aantal;per 1 000 inwoners;per 1 000 inwoners;per 1 000 inwoners;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;per huishouden;per km²;aantal;km;km;km;km;aantal;ha;ha;ha;code;code;code;per km²
Overschie;Rotterdam;Wijk;WK059904;2018;1;18350;9115;9230;3610;1670;5400;4620;3050;9470;6395;1605;885;1795;5160;1190;355;1220;950;1440;.;.;.;.;8360;3295;2025;3050;2,2;1229;8421;180;40;60;95;5;49;50;39;10;1;84;16;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4;5;6;1685;25;275;355;185;160;500;190;7425;6155;1270;0,9;497;570;.;0,9;.;.;.;1580;1494;87;.;.;2;1672
Kleinpolder;Rotterdam;Buurt;BU05990451;2018;1;7700;3765;3935;1390;780;2225;1825;1485;3940;2420;870;480;735;3445;905;215;730;735;860;.;.;.;.;3810;1845;765;1210;2;6179;3875;140;19;81;95;5;31;67;60;7;2;89;11;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;3;6;415;5;75;110;40;30;105;50;2865;2300;565;0,8;2297;185;.;0,4;.;.;.;130;125;5;3042;1;2;1900
Noord Kethel;Rotterdam;Buurt;BU05990452;2018;1;55;30;25;5;0;10;30;15;20;30;5;5;5;0;0;0;0;0;0;.;.;.;.;30;10;15;10;2;25;25;.;92;8;96;4;84;16;0;16;0;88;12;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;20;0;5;5;0;0;5;0;50;45;10;.;.;10;.;2,7;.;.;.;253;235;18;3047;3;5;94
Schieveen;Rotterdam;Buurt;BU05990454;2018;1;345;165;180;55;20;75;105;90;150;155;15;25;20;15;0;0;5;0;10;.;.;.;.;135;40;55;50;2,3;83;138;.;100;0;86;14;76;22;0;22;2;91;9;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9;6;6;70;10;0;10;5;15;20;10;205;165;40;1,5;49;25;.;3,1;.;.;.;428;417;12;3046;1;5;55
Zestienhoven;Rotterdam;Buurt;BU05990455;2018;1;2990;1500;1490;970;140;1105;525;255;1720;1060;125;95;295;500;55;35;140;75;195;.;.;.;.;970;155;225;600;3;534;947;392;87;13;97;3;76;23;10;13;1;28;72;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9;7;9;460;5;45;100;60;55;170;30;1150;910;240;1,2;205;95;.;2;.;.;.;591;561;30;3045;1;4;789
Overschie;Rotterdam;Buurt;BU05990456;2018;1;6865;3450;3410;1145;690;1900;2005;1120;3455;2590;560;260;715;1180;230;105;340;135;370;.;.;.;.;3210;1160;925;1130;2,1;4603;3238;183;45;55;94;6;62;37;23;13;1;95;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;5;5;715;5;145;130;75;65;200;100;3025;2615;410;0,9;2028;235;.;0,8;.;.;.;171;149;22;3043;1;2;1817
Landzicht;Rotterdam;Buurt;BU05990457;2018;1;380;200;175;45;35;80;130;90;185;140;35;25;20;10;0;0;5;0;5;.;.;.;.;200;90;55;60;1,9;5157;198;84;100;0;98;2;33;67;67;1;0;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8;13;18;10;.;.;.;.;.;.;.;130;125;5;0,6;1728;15;.;1,3;.;.;.;7;7;0;3043;1;4;922
Noord;Rotterdam;Wijk;WK059905;2018;1;51845;25540;26300;7005;7275;21035;11010;5520;34755;11355;4390;1350;6950;19410;4880;1450;3585;4015;5475;.;.;.;.;29190;16205;6440;6555;1,8;10127;27230;157;3;97;95;5;33;66;38;28;1;97;3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;6;7;5645;10;475;1020;535;315;1990;1305;14505;12375;2130;0,5;2834;1015;.;0,4;.;.;.;535;512;23;.;.;1;6586
Agniesebuurt;Rotterdam;Buurt;BU05990515;2018;1;4175;2090;2085;540;695;1540;910;490;2800;845;450;85;490;2270;585;230;455;470;530;.;.;.;.;2265;1245;465;560;1,8;11289;2103;153;3;97;96;4;19;80;60;20;1;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4;10;14;525;0;45;95;35;40;205;105;1040;880;155;0,5;2806;50;.;0,4;.;.;.;38;37;1;3032;1;1;8210
Provenierswijk;Rotterdam;Buurt;BU05990516;2018;1;4605;2285;2320;575;735;1915;940;445;3215;950;340;105;680;1925;355;250;330;420;565;.;.;.;.;2680;1575;550;565;1,7;15619;2468;167;3;97;93;7;28;68;44;25;3;98;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5;3;7;525;0;30;65;65;50;210;110;1160;995;165;0,4;3931;90;.;0,5;.;.;.;30;30;0;3033;1;1;7156
