Kerncijfers wijken en buurten 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Onderwerp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Landzicht;Rotterdam;Buurt;BU05990457;2016;1;380;200;175;45;40;90;120;85;185;135;35;25;15;5;0;0;5;0;0;5;16;0;5;200;90;55;65;1,9;5144;198;79;100;0;99;1;33;67;66;1;0;100;0;2500;.;2460;2650;.;.;2240;2990;980;.;960;1100;.;.;910;1120;.;300;22,3;18,2;53,9;6,8;47,9;66,3;4,5;16,2;15,2;20;30;10;80;10;.;.;.;.;.;.;.;130;20;110;120;10;0,6;1728;15;15;1,3;1,3;1,3;0,9;3;7;7;0;3043;1;4;901;5;5;10
Noord;Rotterdam;Wijk;WK059905;2016;1;51690;25465;26225;7295;7595;20495;10890;5415;34195;11605;4500;1400;6730;19660;4965;1395;3720;4210;5370;715;14;295;6;29050;16220;6235;6600;1,8;10045;27261;135;3;97;94;6;33;65;38;27;2;98;2;2130;2090;3160;3150;2760;.;2000;2350;930;920;1330;1320;1220;3740;900;1000;8,7;41200;29;23,6;43,5;19,8;59;55,9;11,3;15,5;15,1;3570;1920;1300;5220;5125;10;455;965;485;275;1760;1180;14125;3030;11095;12065;2065;0,5;2745;940;925;0,4;0,4;0,4;0,4;36,2;535;515;21;.;.;1;6631;4;6;8
Agniesebuurt;Rotterdam;Buurt;BU05990515;2016;1;4115;2015;2095;555;710;1500;890;465;2720;870;435;95;485;2280;600;170;470;480;555;50;12;20;5;2410;1500;360;555;1,7;10700;2237;130;3;97;95;5;19;80;57;23;1;100;0;2150;2130;2740;.;.;.;2080;2370;860;860;1100;.;.;.;940;620;12,2;3300;24;19,7;53,9;12,6;49,4;67;6,4;22,1;21,7;430;180;100;450;495;0;45;85;45;30;200;85;995;195;805;835;160;0,4;2593;95;45;0,4;0,4;0,7;0,5;38,1;38;38;0;3032;1;1;8267;5;12;14
Provenierswijk;Rotterdam;Buurt;BU05990516;2016;1;4685;2330;2350;570;825;1880;940;470;3255;970;350;110;685;1995;345;270;330;480;575;55;12;20;4;2720;1625;560;550;1,7;15879;2628;139;2;98;92;8;26;65;41;23;9;98;2;2190;2140;3770;.;.;.;2030;2510;1020;1000;2020;.;.;.;930;1220;5,1;3800;29;24,1;46;19,8;58,1;58,8;12,3;15,8;15,3;330;170;110;440;480;0;30;70;65;40;185;95;1085;225;860;935;155;0,4;3684;75;70;0,4;0,6;0,5;0,4;38,5;30;30;0;3033;1;1;7222;4;7;8
Bergpolder;Rotterdam;Buurt;BU05990531;2016;1;7985;3960;4025;815;1270;4140;1220;545;6050;1235;580;125;1200;2160;380;190;440;320;825;110;14;20;3;5100;3195;1170;745;1,6;18062;4781;114;0;100;94;6;35;64;21;43;1;99;1;1910;1900;.;.;.;.;1820;2050;990;990;.;.;.;.;1000;970;.;6800;29,3;25,4;38,3;18,8;67,1;57,3;8,5;12,8;11,5;430;250;210;520;860;0;80;110;70;30;305;270;2295;480;1820;2015;280;0,5;5193;120;180;0,5;0,4;0,2;0,4;37,1;45;44;1;3038;1;1;5897;2;3;5
Blijdorp;Rotterdam;Buurt;BU05990532;2016;1;10160;4865;5295;1290;1125;4385;2080;1285;6655;2330;810;375;1500;1385;110;120;300;120;730;155;16;80;8;5930;3220;1560;1155;1,7;6204;5583;159;1;99;95;5;57;43;8;35;0;100;0;2230;2220;3610;.;.;.;2120;2320;1110;1100;2010;.;.;.;1040;1170;.;8400;37,7;31,8;28,1;33,8;72,6;38,6;18,8;5,5;5,8;140;220;250;1260;1100;0;75;130;120;85;460;230;3380;875;2505;2960;420;0,6;2063;155;215;0,3;0,3;0,5;0,4;37,9;169;164;6;3039;1;1;5206;2;5;4
Liskwartier;Rotterdam;Buurt;BU05990534;2016;1;7620;3705;3915;1270;990;2720;1730;915;4835;1900;630;270;880;2685;735;160;560;590;640;100;13;55;7;3990;2050;855;1090;1,9;13762;3673;161;7;93;95;5;38;60;40;20;1;94;6;2260;2170;3270;3860;.;.;2050;2560;970;900;1680;2000;.;.;840;1140;10,3;5900;30,5;24;42,9;22,3;58,5;54,4;14,9;14,3;14,6;460;280;180;890;680;0;80;100;85;35;230;155;2225;485;1740;1905;320;0,6;4020;145;155;0,3;0,3;0,3;0,3;34,3;57;55;2;3037;1;1;6605;4;6;4
Oude Noorden;Rotterdam;Buurt;BU05990535;2016;1;16995;8475;8520;2790;2660;5820;3995;1730;10610;4280;1680;435;1970;9100;2790;465;1605;2210;2025;240;14;90;5;8865;4630;1735;2505;1,9;16800;8357;120;4;96;94;6;20;79;60;19;1;97;3;2080;2020;2960;2390;.;.;1970;2370;770;770;950;390;960;.;820;660;16,9;13100;23,8;18,6;52,9;12,2;49,4;63,5;7,2;22,5;22;1780;820;460;1670;1480;5;145;455;105;60;375;335;4100;760;3340;3385;715;0,5;4051;335;250;0,5;0,3;0,3;0,3;34,7;106;101;5;3035;6;1;7372;6;7;10
Blijdorpsepolder;Rotterdam;Buurt;BU05990558;2016;1;115;95;20;5;20;50;35;5;75;25;15;5;10;50;5;15;10;5;10;0;0;0;0;20;10;10;10;2,1;141;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;.;.;.;.;.;.;.;.;.;0;10;0;0;35;0;5;15;0;0;5;5;40;10;25;30;10;.;.;15;10;1,1;1,2;1;1,3;29,3;89;82;7;3041;1;2;2115;.;52;138
Hillegersberg-Schiebroek;Rotterdam;Wijk;WK059906;2016;1;43580;20700;22875;8725;4175;11080;11525;8080;22465;14915;3735;2470;5100;7395;1570;750;1520;870;2685;535;12;560;13;20100;8350;4755;7000;2,1;3730;20662;245;41;59;94;6;51;47;30;17;2;86;14;2790;2110;3420;3690;4330;5660;2140;3320;1340;1010;1500;1860;2150;3580;1050;1590;.;31900;40,6;30,6;35,7;30,5;59,8;40,9;27,1;9,8;10;1570;1310;860;7820;4120;20;400;720;310;640;1480;550;17310;5325;11985;14865;2445;0,9;1482;975;980;0,7;0,7;0,5;0,5;15,9;1328;1168;159;.;.;2;2300;5;6;6
