naam gebied (voormalig deelgemeente);wijknr;BUURT;Fysieke Index;Fysieke Index -subjectief;Fysieke Index -objectief;Vastgoed objectief;Openbare Ruimte objectief;Voorzieningen objectief;Milieu objectief;% kwetsbare meergezinswoningen;% kleine eengezinswoningen;gemiddelde WOZ per m2 woningoppervlakte;% woningen in funderingsrisicogebied;% leegstaande woningen;% woningen met overbezetting;% woningen met onderbezetting;vraagdruk sociale huurwoningen;gemiddelde looptijd (dagen) per verkooptransactie koopwoningen;% tevreden over onderhoud eigen woning;% tevreden over onderhoud naastgelegen woningen;% tevreden over onderhoud bebouwing buurt;% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);aantal verkeersongevallen per duizend inwoners;% verkooppunten directe risicobranches;% verkooppunten met leegstand;% woningen met bakker binnen normafstand;% woningen met groenteboer binnen normafstand;% woningen met slager binnen normafstand;% woningen met drogist binnen normafstand;aantal bakkers ;aantal groenteboeren ;aantal slagers ;aantal drogisten ;% woningen met gymzaal binnen normafstand;% woningen met sporthal binnen normafstand;% woningen met zwembad binnen normafstand;% woningen met voetbalveld binnen normafstand;aantal gymzalen ;aantal sporthallen ;aantal zwembaden ;aantal voetbalvelden ;% woningen met speeltuin binnen normafstand;% woningen met TOS/Duimdrop binnen normafstand;aantal speeltuinen ;aantal TOS/Duimdrop ;% woningen met basisscholen binnen normafstand;% woningen met VMBO scholen binnen normafstand;% woningen met HAVO VWO scholen binnen normafstand;aantal basisscholen ;aantal VMBO scholen ;aantal HAVO VWO scholen ;% woningen met tandartspraktijk binnen normafstand;% woningen met fysiotherapeut binnen normafstand;% woningen met huisartspraktijk binnen normafstand;% woningen met apotheek binnen normafstand;aantal tandartspraktijken ;aantal fysiotherapeuten ;aantal huisartspraktijken ;aantal apotheken ;% woningen met bushaltes binnen normafstand;% woningen met metrostations binnen normafstand;% woningen met tramhaltes binnen normafstand;aantal bushaltes ;aantal metrostations ;aantal tramhaltes ;gemiddelde NO2-concentratie 2009 irt grenswaarde 40 µg/m3;% woningen in geluidscontour vanaf 55 dB
Feijenoord;79;Kop van Zuid-Entrepot;107;112;102;108;107;110;83;13%;0%;1768;10%;4%;10%;64%;147;309;72%;66%;64%;7%;13%;8%;16%;2%;49%;2%;4%;4%;8;0%;7%;72%;79%;77%;80%;1,9;2,1;2,3;2,4;43%;76%;95%;0%;0,4;0,8;1;0;81%;100%;2,4;17,5;77%;85%;100%;1,5;1;1,5;89%;30%;51%;95%;1,6;0,4;1;1;86%;100%;100%;2,2;2,5;24,6;90%;50%
Feijenoord;80;Vreewijk;89;87;90;89;81;95;95;15%;43%;1578;16%;5%;8%;73%;261;309;43%;37%;37%;24%;25%;7%;7%;32%;58%;8%;3%;6%;15;2%;10%;39%;40%;45%;41%;0,9;0,6;0,9;0,8;62%;100%;24%;100%;1,3;1,9;0,2;5;95%;100%;2,4;16;58%;98%;100%;0,9;2,4;2,6;35%;39%;46%;30%;0,8;1,1;1;0,4;89%;33%;100%;1,5;0,5;23,4;89%;41%
Feijenoord;81;Bloemhof;81;65;97;77;104;114;92;36%;23%;1283;43%;9%;16%;57%;180;134;43%;38%;38%;11%;9%;6%;16%;21%;44%;5%;3%;2%;11;9%;6%;99%;99%;100%;99%;5,1;4;5;4;93%;100%;80%;34%;1,7;1,3;0,9;0,4;100%;100%;4,2;21,7;95%;100%;100%;2,2;2,6;1,9;96%;78%;76%;91%;2,2;1;1,7;1,3;70%;100%;100%;1,4;2,1;22,6;88%;45%
Feijenoord;82;Hillesluis;77;65;88;74;84;115;81;45%;1%;1152;66%;11%;17%;54%;90;148;53%;41%;37%;9%;9%;11%;20%;12%;42%;6%;4%;7%;17;5%;9%;91%;92%;92%;93%;5,8;5,2;5,5;5,6;97%;100%;47%;80%;2,1;1,8;0,5;3,1;100%;100%;3,2;19,2;98%;99%;93%;2,6;1,8;1,7;95%;91%;93%;33%;3;1,4;3,6;0,5;86%;44%;100%;1,9;0,7;23,4;87%;56%
Feijenoord;85;Katendrecht;106;106;106;107;109;88;118;31%;2%;1538;44%;6%;10%;68%;138;127;66%;56%;53%;10%;21%;3%;3%;10%;26%;6%;2%;4%;6;2%;7%;53%;57%;55%;57%;0,9;1;0,9;1;37%;71%;18%;0%;0,4;0,7;0,2;0;100%;100%;1,8;18,8;64%;7%;29%;0,8;0,1;0,3;0%;53%;61%;73%;0;0,5;0,6;0,7;100%;77%;100%;3,7;1,9;22,4;86%;30%
Feijenoord;86;Afrikaanderwijk;82;75;89;73;97;105;78;44%;0%;1160;66%;11%;17%;55%;138;226;48%;44%;39%;3%;16%;11%;12%;4%;34%;6%;2%;6%;12;3%;13%;99%;95%;97%;95%;3,3;2,1;2,5;2,2;63%;100%;100%;0%;1,1;1;1;0;100%;100%;2,7;22,4;100%;100%;100%;2,7;2,7;2;53%;30%;76%;57%;0,8;0,5;1,5;0,6;81%;100%;100%;1,3;2,7;21;90%;53%
Feijenoord;87;Feijenoord;81;68;94;89;107;90;90;39%;1%;1222;29%;2%;17%;61%;193;161;48%;39%;32%;11%;26%;10%;20%;1%;40%;6%;3%;2%;6;8%;8%;82%;80%;90%;80%;1,5;1,4;1,9;1,4;0%;35%;53%;40%;0;0,4;0,5;0,4;96%;100%;1,9;14,9;75%;87%;100%;1,3;0,9;1,1;10%;13%;46%;49%;0,1;0,1;0,9;0,5;92%;73%;100%;3,2;1,1;23,9;86%;51%
Feijenoord;88;Noordereiland;110;111;108;103;125;87;118;25%;0%;1760;73%;6%;6%;76%;101;265;53%;52%;53%;0%;19%;4%;5%;16%;22%;4%;1%;0%;8;0%;9%;62%;64%;64%;64%;0,7;0,8;0,7;0,8;48%;21%;0%;0%;0,5;0,2;0;0;0%;100%;0;14,8;46%;0%;27%;0,9;0;0,3;76%;73%;29%;18%;0,8;1;0,3;0,2;100%;100%;100%;3,6;4,8;31,6;88%;27%
Feijenoord;4007;Feijenoord;89;83;95;87;96;104;92;30%;13%;1447;40%;8%;13%;62%;189;203;52%;46%;43%;9%;18%;8%;13%;13%;40%;6%;3%;4%;12;4%;8%;73%;74%;76%;74%;2,8;2,3;2,7;2,5;61%;84%;57%;42%;1,1;1,2;0,6;1,6;89%;100%;2,6;18,5;77%;84%;89%;1,7;1,7;1,7;63%;51%;61%;54%;1,4;0,8;1,5;0,7;85%;74%;100%;2;1,8;23,6;88%;45%
Hillegersberg-Schiebroek;60;Schiebroek;111;110;112;110;139;98;101;22%;3%;1825;33%;5%;6%;76%;122;210;62%;52%;51%;4%;9%;3%;4%;2%;23%;3%;0%;0%;5;0%;7%;64%;54%;51%;52%;1,2;1;1;1;76%;60%;62%;100%;1,4;0,6;0,6;1,4;24%;13%;0,3;0,2;60%;100%;88%;1;2,7;1,1;71%;63%;30%;50%;1,4;0,9;0,3;0,6;76%;88%;100%;1,5;1,4;14,8;80%;54%
